"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.990134239000000e-01, -3.139526010000000e-02, 2.091894503683783e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332382496370252e+00
1, 9.977809787000000e-01, -4.705416770000000e-02, 2.091869004088495e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332328545331517e+00
2, 9.960572720000000e-01, -6.266664700000001e-02, 2.091833701949404e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332253852322064e+00
3, 9.938442111000000e-01, -7.821735730000000e-02, 2.091788978912728e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332159232140066e+00
4, 9.911435843000000e-01, -9.369102860000000e-02, 2.091735280102692e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332045635341036e+00
5, 9.879583716000000e-01, -1.090725063000000e-01, 2.091673118934835e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331914156342033e+00
6, 9.842916131000000e-01, -1.243468820000000e-01, 2.091603032077074e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331765937945644e+00
7, 9.801468253000000e-01, -1.394995152000000e-01, 2.091525619249139e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331602251491483e+00
8, 9.755281806000000e-01, -1.545156537000000e-01, 2.091441476811492e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331424357040939e+00
9, 9.704403877000000e-01, -1.693812161000000e-01, 2.091351175187002e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331233454093963e+00
10, 9.648882151000000e-01, -1.840820610000000e-01, 2.091255256991600e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331030675641309e+00
11, 9.588773251000000e-01, -1.986043303000000e-01, 2.091154186745990e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.330816982022156e+00
12, 9.524134994000000e-01, -2.129344939000000e-01, 2.091048335602589e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.330593127707417e+00
13, 9.455031753000001e-01, -2.270589768000000e-01, 2.090937918459964e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.330359530186968e+00
14, 9.381533265000001e-01, -2.409642785000000e-01, 2.090823067919664e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.330116422401038e+00
15, 9.303709865000001e-01, -2.546369432000000e-01, 2.090703897690500e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.329863983707461e+00
16, 9.221640229000000e-01, -2.680633067000000e-01, 2.090580438022108e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.329602206562748e+00
17, 9.135403036999999e-01, -2.812297045000000e-01, 2.090452644736959e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.329330915898737e+00
18, 9.045084715000000e-01, -2.941222190000000e-01, 2.090320430942709e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.329049836583955e+00
19, 8.950775266000000e-01, -3.067269920000000e-01, 2.090183578091470e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.328758411114061e+00
20, 8.852565885000000e-01, -3.190300166000000e-01, 2.090041869946931e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.328456079778921e+00
21, 8.750556111000000e-01, -3.310172557000000e-01, 2.089895051311599e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.328142198531335e+00
22, 8.644843102000001e-01, -3.426751493000000e-01, 2.089742789465283e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.327815961995399e+00
23, 8.535534143000000e-01, -3.539901673000000e-01, 2.089584768958666e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.327476604372640e+00
24, 8.422734737000001e-01, -3.649495541000000e-01, 2.089420580828678e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.327123173277267e+00
